name,difficulty_level,exercise_type,instructions,video_url,image_url
30 Spider Crawl,intermediate,strength,"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",,
Spider crunch,intermediate,strength,"The spider crunch is a core exercise that begins in a straight-arm plank position and involves raising one knee toward your same-side elbow to target the obliques. It is similar to a mountain climber, but with the knees out wider. It can be performed for time or reps as bodyweight ab training or conditioning.",,
Toe-touch,intermediate,strength,"The toe-touch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It can be performed for time or reps in the ab-focused portion of any workout.",,
30 Hanging Toes-To-Bar,intermediate,strength,"The hanging toes-to-bar is an advanced abdominal exercise in which the lifter touches their feet to a pull-up bar. There are many ways to perform this movement: strict or swinging, arms completely straight or slightly bent, legs straight or bent, each providing unique benefits and challenges. Initially, it may be a difficult move to do for a single rep, but once you build the requisite core, lat, and shoulder strength, it can be performed for higher reps.",,
30 V-Up,intermediate,strength,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.",,
Cocoon crunch,intermediate,strength,"The cocoon crunch is a bodyweight exercise targeting the ab muscles, the rectus abdominis or ""six-pack"" muscles in particular. It involves bringing your knees to your chest and your arms from overhead to center. It can be performed for time or reps as part of the ab-focused portion of any workout.",,
Bench oblique crunch,intermediate,strength,"The bench oblique crunch is an exercise that targets the obliques, the muscles running alongside the rectus abdominis. The range of motion is fairly small, but it still does a great job of working these hard-to-isolate muscles. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",,
Full moon-,intermediate,strength,"The full moon is a bodyweight exercise targeting the muscles of the abs. It is similar to a V-up, but with the added challenge of “drawing” a circle shape in the air during each rep. It can be performed for time or reps in the core-focused portion of any workout.",,
Push-up to side plank,intermediate,strength,"The push-up to side plank is an upper-body and core-focused exercise combining two popular bodyweight movements. It targets the chest, triceps, and shoulders with the push-up, and the obliques and hip external rotator muscles with the side plank. It can be performed as part of a dynamic warm-up or any bodyweight strength-training workout.",,
Tyler Holt V-Up,intermediate,strength,,,
Tyler Holt Plank,intermediate,strength,,,
Tyler Holt Hip-Dip,intermediate,strength,,,
Suicides,intermediate,strength,,,
Holman Towel Straight Plank Jack,intermediate,strength,,,
Holman Towel Hill Climber,intermediate,strength,,,
Holman Towel Elbow Plank Jack,intermediate,strength,,,
Holman Towel Elbow Plank Pike,intermediate,strength,,,
Holman Towel Straight Plank Hand Reach,intermediate,strength,,,
Holman Towel Wax-On Wax-Off,intermediate,strength,,,
Holman Towel Wide Hill Climber,intermediate,strength,,,
Holman Towel Dirty Dog,intermediate,strength,,,
Holman Straight Plank Shoulder Tap,intermediate,strength,,,
Holman Killer Abs,intermediate,strength,,,
Holman Straight Plank Split Jack,intermediate,strength,,,
Holman Elbow Plank Swim,intermediate,strength,,,
Holman Elbow Plank Saw,intermediate,strength,,,
Holman Feet-Elevated Straight Plank Toe-Tap Series,intermediate,strength,,,
Holman Elbow Plank Pike Pull,intermediate,strength,,,
Holman Hand-Elevated Walk-Over Push-Up,intermediate,strength,,,
Holman Hands-Elevated Hill Climber,intermediate,strength,,,
Holman Seated Pike,intermediate,strength,,,
Holman Feet-Elevated Up-Down Plank,intermediate,strength,,,
Holman Feet-Elevated Hand Tap,intermediate,strength,,,
Holman Reverse Straight Plank with Alternating Heel Pull-In,intermediate,strength,,,
Holman Elbow Plank,intermediate,strength,,,
Holman Straight Plank Squat Thrust,intermediate,strength,,,
Holman Alternating Single-Leg Pike,intermediate,strength,,,
Holman Knee Pull-In Crunch,intermediate,strength,,,
Holman Straight Plank with Hand Tap,intermediate,strength,,,
Holman Straight Plank with Dirty Dog,intermediate,strength,,,
Holman Elbow Plank Roll,intermediate,strength,,,
Holman Froggy Push-Up,intermediate,strength,,,
Holman Straight Plank Hand Tap to Shoulder Tap,intermediate,strength,,,
Holman In-Out Straight Plank,intermediate,strength,,,
Holman Bicycle,intermediate,strength,,,
Holman Alternating Diagonal Knee Pull-in,intermediate,strength,,,
Holman Elbow Plank with Step-Out,intermediate,strength,,,
Holman Alternating Slow L-Raise,intermediate,strength,,,
Holman Feet-Elevated Plank with Shoulder Tap,intermediate,strength,,,
Holman Feet-Elevated Inchworm Pike to Straight Plank Push-Up,intermediate,strength,,,
Holman Feet-Elevated Up-Down Elbow Plank,intermediate,strength,,,
Holman Feet-Elevated Plank Pike Pull,intermediate,strength,,,
Holman Feet-Elevated Alternating Single-Leg Hip Raise,intermediate,strength,,,
Holman Feet-Elevated Plank Pike Pull to Push-Up,intermediate,strength,,,
Holman Standing Heel Click,intermediate,strength,,,
Holman Straight Plank Right-Left Jack to Split Jack,intermediate,strength,,,
Holman Elbow Plank Jack to Ninja Knees,intermediate,strength,,,
Holman Right Side Elbow Plank with Left Leg Swing,intermediate,strength,,,
Holman Left Side Elbow Plank with Right Leg Swing,intermediate,strength,,,
Holman Straight Plank with Alternating Diagonal Sit-Back,intermediate,strength,,,
Holman Boat Press with Leg Extension,intermediate,strength,,,
Holman Shoulder Tap to Dirty Dog,intermediate,strength,,,
Holman Standing Russian Twist,intermediate,strength,,,
Holman Hovering Plank with Shoulder Tap,intermediate,strength,,,
Holman Elbow Plank to Stacked Plank Hip Drop,intermediate,strength,,,
Holman Elbow Plank to Walk-Up Pike,intermediate,strength,,,
Holman Hill Climber,intermediate,strength,,,
Holman Straight Plank Pike to Renegade Row,intermediate,strength,,,
Holman Alternating Hip Drop to Push-Up,intermediate,strength,,,
Holman Crab Kick,intermediate,strength,,,
Holman Wounded Bear Crawl,intermediate,strength,,,
Holman Alternating Crab Reach,intermediate,strength,,,
Holman Hovering Panther Core Stabilizer,intermediate,strength,,,
Holman Burpee to Forward Lunge,intermediate,strength,,,
Holman Seated Knee Pull-In Series,intermediate,strength,,,
Holman Elbow Plank Pike,intermediate,strength,,,
Holman Elbow Plank Jack to Straight Plank Split Jack,intermediate,strength,,,
Holman Boat Pull-Over,intermediate,strength,,,
Holman Squat Pulse to Plyometric Jump,intermediate,strength,,,
Holman Hands Down Heel Click,intermediate,strength,,,
Holman Straight Plank to Kick-Up,intermediate,strength,,,
Holman Hands-Elevated Split Jack,intermediate,strength,,,
Holman Feet-Elevated Plank Reach,intermediate,strength,,,
Holman Hand-Elevated Side Plank Semicircle,intermediate,strength,,,
Holman Hands-Elevated Straight Plank Pike,intermediate,strength,,,
Holman Alternating Rolling Elbow Plank,intermediate,strength,,,
Holman Elbow Plank Jack,intermediate,strength,,,
Holman Squat Thrust to Alternating Knee-In,intermediate,strength,,,
Holman Supine Double Pike,intermediate,strength,,,
Holman Elbow Plank Alternating Pike,intermediate,strength,,,
Holman Seated Killer Abs,intermediate,strength,,,
Holman Side Plank Hip Drop,intermediate,strength,,,
Holman Wide Hill Climber,intermediate,strength,,,
Holman Straight-Legged Bicycle,intermediate,strength,,,
Holman Stair Toe Tap,intermediate,strength,,,
Holman Elbow Plank Ninja,intermediate,strength,,,
Holman Traveling Stair Climb Push-Up,intermediate,strength,,,
Holman Hands-Elevated Burpee,intermediate,strength,,,
Holman Straight Plank Donkey Kick,intermediate,strength,,,
Holman Feet-Elevated Straight Plank Pike Pull,intermediate,strength,,,
Holman Towel Burpee,intermediate,strength,,,
Holman Elbow Plank to Alternating Side Plank Crunch,intermediate,strength,,,
Holman Straight-Legged Hip Raise,intermediate,strength,,,
Holman Feet-Elevated Hill Climber,intermediate,strength,,,
Holman Ninja Knee Hill Climber,intermediate,strength,,,
Holman Feet-Elevated Shoulder Tap,intermediate,strength,,,
Holman Feet-Elevated Hip Raise,intermediate,strength,,,
Holman Left Hand Right Foot Crab Reach,intermediate,strength,,,
Holman Alternating Crab Flip to Froggy Push-Up to Kicks,intermediate,strength,,,
Holman Right Hand Left Foot Sleeping Crab,intermediate,strength,,,
Holman Left Hand Right Foot Sleeping Crab,intermediate,strength,,,
Holman Straight Plank with Alternating Leg Kick-Under,intermediate,strength,,,
Holman Right Hip Drop Push-Up,intermediate,strength,,,
Holman Right Side Diagonal Burpee,intermediate,strength,,,
Holman Left Hip Drop Push-Up,intermediate,strength,,,
Holman Right Leg 7-Up Crunch,intermediate,strength,,,
Holman Left Leg 7-Up Crunch,intermediate,strength,,,
Holman Straight Plank Jack,intermediate,strength,,,
Holman Feet-Elevated Couch Hill Climber,intermediate,strength,,,
Holman Feet-Elevated Right Side Plank,intermediate,strength,,,
Holman Alternating Up-Down Plank to Push-Up,intermediate,strength,,,
Holman Straight Plank Pike,intermediate,strength,,,
Holman Ninja Knee Straight Plank,intermediate,strength,,,
Holman Reverse Crunch to Hip Raise,intermediate,strength,,,
Holman Straight Plank Quick Reach,intermediate,strength,,,
Holman Alternating Diagonal Straight Plank,intermediate,strength,,,
Holman Feet-Elevated Left Side Plank,intermediate,strength,,,
Holman Right Hand Left Foot Crab Reach,intermediate,strength,,,
Holman Low-Impact Crab Kick,intermediate,strength,,,
Holman Alternating Crab Flip to Froggy Push-Up,intermediate,strength,,,
Holman High-Impact Crab Kick,intermediate,strength,,,
Holman Single-Leg Right Pike,intermediate,strength,,,
Holman Single-Leg Left Pike,intermediate,strength,,,
Holman Shoulder Tap to Hand Tap,intermediate,strength,,,
Holman Towel Reverse Plank Jack,intermediate,strength,,,
Holman Side-to-Side Twist,intermediate,strength,,,
Holman Crab Kick with Hop,intermediate,strength,,,
Holman Crab Reach to Crab Kick,intermediate,strength,,,
Holman Wide Squat Side-to-Side Obliques,intermediate,strength,,,
Holman Side Plank Crunch,intermediate,strength,,,
Total Fitness Ab Tuck,intermediate,strength,"The hollow-body knee tuck is a bodyweight abdominal exercise performed on the floor. It is similar to both the hollow-body hold and the knee tuck or reverse crunch, combining elements of both. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.",,
Active hang from bar,intermediate,strength,"The active hang from bar is a static exercise that involves isometrically squeezing the shoulders into the sockets and activating the muscles of the upper back and core. It can be used to improve pull-up form or to do more pull-ups, but also has postural and shoulder health benefits.",,
Cat-cow,intermediate,strength,Cat-cow is a traditional yoga pose that is also popular in fitness and strength training. It targets spinal mobility and control of the vertebral column. It can be performed for time or reps as part of a dynamic warm-up or as a mobility or restorative exercise anytime. It can also work as part of a yoga or bodyweight sequence with other poses.,,
Crab walk,intermediate,strength,"The crab walk is a full-body exercise that has been popular in schools and gym classes for decades. It's a full-body coordination challenge that also burns serious calories, making it an excellent inclusion in a full-body warm-up or bodyweight circuit workout.",,
Lunge with overhead reach,intermediate,strength,The lunge with overhead reach is a full-body bodyweight movement targeting the quads and shoulders. It has both strength and mobility benefits and can be performed one leg at a time or alternating for time or for reps.,,
Hang from bar,intermediate,strength,"The hang from bar is a static exercise that involves hanging from a bar by two hands. It can either be an ""active hang,"" where you pack the shoulders and activate the muscles of the upper back, or a ""passive hang,"" where you let the shoulders unpack and let the muscles of the upper body stretch. A passive hang may not be appropriate for all people depending on their shoulder health, but many coaches believe hanging can be healthy for the shoulders when done properly.",,
Total Fitness Hollow Hold,intermediate,strength,"The hollow-body hold is an isometric exercise that increases strength and stability in the core muscles. It is common in gymnastics training, CrossFit training, and as a core tension and bracing drill for lifters and athletes of all types. It is performed for time and can be performed as an activation drill prior to lifting, as part of a circuit, or as equipment-free core training anytime.",,
Total Fitness Side Plank,intermediate,strength,"The side plank is a popular isometric abdominal exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It is sometimes paired with the curl up and bird dog as the “McGill big three” for core strength and stability. It is performed for time and can work in a warm-up or in the core-focused portion of any workout.",,
Side plank pulse,intermediate,strength,"The side plank pulse is a dynamic version of the side plank exercise focusing on the oblique muscles, as well as the transversus abdominis or deep core muscles. It can be performed for time or reps and can work in a warm-up or in the core-focused portion of any workout.",,
Total Fitness Spider Crawl (Unweighted),intermediate,strength,"The spider crawl is a bodyweight exercise that involves crawling on the floor with the knees outside of the elbows. It is different from a leopard crawl in that the hips are higher, and it's different from a bear crawl because the knees are wider. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",,
Total Fitness V-Up,intermediate,strength,"The V-up is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a suitcase crunch, but the lower back lifts off the ground at the top of each rep. It can be performed for time or reps in the ab-focused portion of any workout.",,
MetaBurn Alternating Knee-to-Elbow Mountain Climber,intermediate,strength,,,
Alternating sit-through with crunch-,intermediate,strength,"The alternating sit-through with crunch is a full-body movement that starts in a bear crawl position and ends with a leg kicked out to the side. In between reps, you perform a crunch. It is commonly performed for reps or time in bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence.",,
MetaBurn Alternating Toe-Touch,intermediate,strength,,,
MetaBurn Janda Sit-Up,intermediate,strength,,,
MetaBurn Oblique Roll Crunch,intermediate,strength,,,
MetaBurn Plank Jack,intermediate,strength,,,
MetaBurn Plank To Alternating Side Plank,intermediate,strength,,,
MetaBurn Plank Up-Down,intermediate,strength,,,
MetaBurn Plank Wiper,intermediate,strength,,,
MetaBurn Plank With Alternating Toe-Touch,intermediate,strength,,,
MetaBurn Plyo Push-Up,intermediate,strength,,,
MetaBurn Psycho Crunch,intermediate,strength,,,
MetaBurn Scapular Retraction Plank,intermediate,strength,,,
MetaBurn Scapular Retraction Plank Hold,intermediate,strength,,,
MetaBurn Scorpion,intermediate,strength,,,
MetaBurn Side Crawler,intermediate,strength,,,
MetaBurn Side Plank Oblique Crunch,intermediate,strength,,,
MetaBurn Sit-Through,intermediate,strength,,,
MetaBurn Sit-Up To V-Up,intermediate,strength,,,
MetaBurn Sit-Up With Rotation,intermediate,strength,,,
MetaBurn Split-Leg Crunch,intermediate,strength,,,
MetaBurn Tabletop Hip Thrust,intermediate,strength,,,
MetaBurn Tabletop With Russian Kick,intermediate,strength,,,
MetaBurn Toe Driver Abs,intermediate,strength,,,
MetaBurn-V-Up,intermediate,strength,,,
X-body V-up,intermediate,strength,"The X-body V-up is a bodyweight abdominal exercise performed on the floor. It is similar to the popular V-up exercise, but is performed with the arms and legs out wide in an X-shape. It primarily targets the muscles of the rectus abdominis, or “six-pack” muscles. It can be performed for reps or time, either as part of an ab-focused workout or as a component of a circuit workout.",,
MetaBurn Swivel Crunch,intermediate,strength,,,
Robertson Core-Engaged Dead Bug,intermediate,strength,,,
FYR2 Double-Under,intermediate,strength,,,
FYR2 Fire Feet with Burpee Tuck Jump Drill,intermediate,strength,,,
FYR2 Flutter Kick,intermediate,strength,,,
FYR2 Half-Moon,intermediate,strength,,,
FYR2 Leopard Crawl,intermediate,strength,,,
FYR2 Plank Alternating Front Step,intermediate,strength,,,
FYR2 Shoulder Tap,intermediate,strength,,,
Hand shift plank,intermediate,strength,The hand shift plank is a progression of the straight-arm plank exercise where you maintain a plank position as you shift your hands side to side. The additional movement forces the core muscles to work harder to stabilize.,,
Cross-body plank march,intermediate,strength,"The cross-body plank march is an exercise targeting the entire core but especially the obliques. It’s more difficult than a standard plank, with the extra stabilization challenge of bringing one knee at a time off the ground toward the opposing elbow. This will increase the challenge to the core and shoulder muscles, but also present a coordination and balance challenge.",,
Bent-knee Copenhagen hip adduction,intermediate,strength,"The bent-knee Copenhagen hip adduction is an advanced exercise that combines the isometric stabilization of the Copenhagen plank with dynamic adductions to challenge the core stabilizers and adductors. This exercise targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but places extra emphasis on the adductors and is more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank or Copenhagen plank first.",,
Copenhagen plank,intermediate,strength,"The Copenhagen plank is an advanced version of the side plank performed with one foot on a bench and the other foot hovering under it. This exercise targets the same muscles as the side plank, including the obliques, shoulders, and lateral hips, but places extra emphasis on the adductors and is more difficult than side planks on the floor. Most lifters will need to progress to this version after mastering the basic side plank or feet-elevated side plank first.",,
ACFT Hanging leg tuck,intermediate,strength,"The hanging leg tuck is an exercise targeting the entire body, including the arms, upper back, abs, and hip flexors. This specific exercise is part of the new Army Combat Fitness Test or ACFT. It is performe while hanging from a bar and combines elements of a pull-up with a leg raise. Experienced lifters make these look easy, but beginners may need time to build up to sets of 8-12 reps.",,
Alternating hanging knee raise,intermediate,strength,"The alternating hanging knee raise is an exercise targeting the abs, but which also works the lats and hip flexors. Rather than performing both legs at a time, you lift one knee at a time and alternate with each rep as if marching in place. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training.",,
Plank To Sphinx,intermediate,strength,,,
Twisting Mountain Climbers,intermediate,strength,,,
Jack Knives,intermediate,strength,,,
Hanging Leg Raises,intermediate,strength,,,
Dumbbell suitcase crunch,intermediate,strength,"The dumbbell suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",,
Medicine ball rotational throw,intermediate,strength,"The medicine ball rotational throw is an explosive exercise targeting the abdominals, including the obliques, as well as the hips and upper back. It involves standing sideways to the wall and twisting the torso to hurl a medicine ball into the wall, then catching the ball on the ricochet. It can be performed for lower reps with a focus on power, or for higher reps with a focus on fat loss and conditioning.",,
Hollow-hold ball toss,intermediate,strength,"The hollow-hold ball toss is a more difficult version of the hollow-body hold exercise. It involves tossing a ball to a partner while maintaining an isometric hold in the hollow-body position. It can be done for reps or time in any ab-focused workout, or in an ""I go, you go"" format.",,
Partner front Russian twist and pass,beginner,strength,"The partner front Russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in an ab-focused portion of any workout.",,
Sit-up with single-arm overhand throw,intermediate,plyometrics,"The sit-up with single-arm overhand throw is an exercise targeting the core muscles, but the inclusion of the throw also brings in other upper-body muscles. When you come to the top of the sit-up position, you throw a medicine ball using one arm to a partner who then throws it right back to you to be caught with both hands. It can be performed for time or reps as part of the ab-focused portion of any workout.",,
Medicine ball partner twist,intermediate,plyometrics,"The medicine ball partner twist is a plyometrics exercise targeting the core muscles, particularly the obliques. You and a partner stand back to back and rotate in unison to pass a medicine ball back and forth on alternating sides.",,
Partner side Russian twist and pass,beginner,strength,"The partner side Russian twist and pass is a weighted version of a popular abdominal training exercise that also utilizes a training partner to add another dynamic component. It primarily targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in an ab-focused portion of any workout.",,
Medicine ball half moon,intermediate,strength,"The medicine ball half moon is a dynamic core exercise performed around and over a medicine ball or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, and targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a medicine ball and bodyweight circuit workout.",,
Exercise ball roll-out,intermediate,strength,"The exercise ball roll-out is an exercise that strengthens the core, shoulders and upper- back muscles. It starts in a plank-style position, with the arms resting on a ball. Then, roll the ball out in front of you as far as you can while maintaining a strong, neutral spinal position. The lack of stability from the ball increases the degree of difficulty. This is a difficult movement, and beginners may need to use a limited range of motion.",,
Medicine ball pass,intermediate,strength,"The medicine ball pass is a simple partner-based exercise that involves throwing a weighted ball back and forth. It can be part of a dynamic warm-up for lifting or athletics, but can also work as active rest or as a component of circuit training.",,
Partner medicine ball sit-up,intermediate,strength,"The partner medicine ball sit-up is a more difficult version of the traditional abdominal exercise. Two partners pass a medicine ball back and forth at the top of each rep, so each one must alternate a weighted rep with an unweighted rep. This technique can be done for reps or time in any ab-focused workout, in an ""I go, you go"" format.",,
Medicine ball Russian twist,intermediate,strength,"The medicine ball Russian twist is a weighted version of a popular abdominal training exercise. It targets the oblique muscles, as well as the deep muscles of the core and the rectus abdominis or ""six pack"" muscles. It can be done for reps or time in the ab-focused portion of any workout.",,
30 Medicine Ball Slam,intermediate,strength,"The medicine ball slam is an explosive exercise for developing power, strength, and speed. Muscles worked include the abdominals, legs, triceps, shoulders, and lats. The slams are usually done in rapid succession to complete one set. It can also be a component of a power or athleticism-focused circuit workout.",,
Medicine ball twist,intermediate,strength,"The medicine ball twist is an exercise targeting the abdominal muscles, particularly the obliques. It is similar in many ways to a Russian twist exercise. The ball is held tight to the chest throughout the movement, and then the torso is rotated from side to side for the desired number of reps or a set amount of time.",,
FYR2 Medicine Ball Complex,intermediate,strength,,,
FYR2 Medicine Ball Fire-Feet Drill,intermediate,strength,,,
FYR2 Medicine Ball Knees-to-Chest,intermediate,strength,,,
FYR2 Medicine Ball Mountain Climber,intermediate,strength,,,
Decline oblique crunch,intermediate,strength,"The decline oblique crunch is a popular bodyweight exercise targeting the obliques and the rectus abdominis or ""six-pack"" muscles. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",,
Decline sit-up,intermediate,strength,"The decline sit-up is a bodyweight core exercise that works the rectus abdominis or ""six pack"" muscles. Sit-up variations are usually performed for moderate to high reps, such as 10-15 reps per set or more, as part of the core-focused portion of a workout.",,
Hanging Windshield Wiper,intermediate,strength,"The hanging windshield wiper is an advanced abdominal training exercise that is also extremely challenging to other muscles of the upper body, including the lats (latissimus dorsi), biceps, and grip. It requires—and builds—great strength in the rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles. If you can't perform it hanging from a bar, the lying windshield wiper on the floor provides some of the same benefits.",,
Exercise Ball Pull-In,intermediate,strength,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,,
Exercise ball crunch,intermediate,strength,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo focusing on a hard contraction, or for higher reps.",,
Feet-elevated crunch,intermediate,strength,"The feet-elevated crunch is a variation on the basic crunch, a very popular ab move. Resting the feet on a bench takes some of the hip flexor activation out of the movement, focusing the stress more on the abs. It may have a small range of motion, but this movement produces a major burn.",,
Weighted Ball Side Bend,beginner,strength,,,
Swiss Ball Ab Roll-Out,intermediate,strength,"The exercise ball roll-out is an exercise that strengthens the core, shoulders and upper- back muscles. It starts in a plank-style position, with the arms resting on a ball. Then, you roll the ball out in front of you as far as you can while maintaining a strong, neutral spinal position. The lack of stability from the ball increases the degree of difficulty. This is a difficult movement, and beginners may need to use a limited range of motion.",,
Exercise ball squat and twist,intermediate,strength,"The exercise ball squat and twist is a combination exercise targeting the quads, but also the obliques because of the twisting motion with each repetition. The exercise ball is held close to the chest throughout. Because it is a lightweight movement, it is usually performed for high reps or for time, and can be a great part of a bodyweight and exercise ball circuit.",,
Swiss Ball V-Up With Foot Pass,intermediate,strength,"The exercise ball V-up is a popular movement to target the abdominal muscles, particularly the rectus abdominis or ""six-pack"" muscles. It involves passing an exercise ball or yoga ball back and forth between the hands and feet while performing V-ups. It can be performed for reps or time as part of any ab-focused workout or bodyweight circuit.",,
Exercise ball pike,intermediate,strength,"The exercise ball pike is a challenging move that targets the core. It involves thrusting the hips into full flexion over a ball, then extending out to a foot-elevated plank with the feet on the ball. It's a challenging move from a strength perspective, but also for balance. It can be the centerpiece of an ab workout or go along with other body weight or ball movements in an ab circuit.",,
Exercise ball bird dog,intermediate,strength,"The exercise ball bird dog is a dynamic movement focusing on the glutes and the postural muscles of the upper back. When performing it, use an exercise ball that is tall enough to support your chest and core, but short enough to allow your hands and knees to reach the ground. It is slightly easier than a bodyweight bird dog and can work as a regression for that movement. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",,
Exercise ball superman,intermediate,strength,"The exercise ball superman is a slightly more advanced variation of the bodyweight superman exercise. It targets many muscles along the posterior or backside of the body, including the rear deltoids, trapezius, spinal erectors, glutes, and hamstrings. It can be done for time or reps as part of a warm-up, paired with movements in a workout, or as a mobility or recovery exercise.",,
BOSU cross-body crunch,intermediate,strength,"The BOSU cross-body crunch is a dynamic abdominal exercise performed on a BOSU ball or other stability training device. It targets several of the muscles in the core, including the obliques and the rectus abdominis or ""six-pack"" muscles. It is usually performed in alternating reps, either for time or a number of reps, as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",,
Exercise Ball Knee Tuck - Gethin Varation,intermediate,strength,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,,
Alternating Exercise Ball Knee Tucks - Gethin Variation,intermediate,strength,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring core strength.,,
AM Ball Crunch,intermediate,strength,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps.",,
30 Bosu Cable Reverse Crunch,intermediate,strength,,,
BOSU knee tuck,intermediate,strength,"The BOSU knee tuck is a dynamic abdominal movement performed on a BOSU ball or other stability training device. It primarily targets the rectus abdominis or ""six-pack"" muscles of the core. It can be performed for time or reps as part of an ab-focused workout or a circuit involving body weight or the BOSU ball.",,
30 Side Plank On Ball,intermediate,strength,"The feet-elevated side plank on ball is a more advanced version of a traditional bodyweight side plank. The feet are balanced on an exercise ball, providing a balance challenge but also increasing the load placed upon the obliques and shoulder muscles. It is usually performed for timed holds, either one side at a time or alternating sides. If a ball is unavailable, some of the benefits of the movement can be obtained by performing side planks with the feet elevated on a couch, chair, bench, or other stable object.",,
Hanging exercise ball leg raise,intermediate,strength,"The hanging exercise ball leg raise is an exercise targeting the abs and hip flexors. Instead of resting the forearms on the pads of an apparatus, it's performed hanging from a bar with an exercise ball held between the legs.",,
Taylor Exercise Ball Stir-The-Pot,intermediate,strength,,,
FYR2 Air Ball,intermediate,strength,,,
Feet-elevated plank on ball,intermediate,strength,"The feet-elevated plank is a variation on the straight-arm plank, a bodyweight standard. The feet are elevated on a ball to align the body parallel to the floor and provide a greater stabilization challenge. This makes it more difficult than straight-arm planks on the floor, but also puts more emphasis on the shoulder muscles. It is often used as a shoulder and core warm-up, or as a burnout movement for a chest or shoulder workout.",,
Band Hip Adductions,beginner,strength,,,
Lateral Band Walk,intermediate,strength,,,
FYR2 Standing Banded Leg Abduction,intermediate,strength,,,
Iliotibial band SMR,intermediate,stretching,"Iliotibial band self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller or other ""trigger point"" massage tool. By applying pressure strategically to the IT band along the side of the upper leg, some people find they can cause this often painful and tight area to relax or ""release."" IT band SMR is often accompanied by SMR on the glute or quad muscles, or by stretches that target the glutes or quads.",,
Adductor SMR,beginner,stretching,"Adductor self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body, usually using a foam roller, lacrosse ball, or other ""trigger point"" massage tool. By applying pressure strategically to the adductor muscles in the inner thigh region, some people find they can cause this often painful and tight muscle to relax or ""release."" Adductor SMR is often accompanied by SMR on the iliotibial (IT) band or glutes (TFL muscles), or by stretches that target the adductors.",,
Lying Bent Leg Groin,beginner,stretching,,,
Lateral box jump,intermediate,plyometrics,"The lateral box jump is a plyometric exercise targeting lateral agility and lower-body strength. It's a great move for athletes in many sports, including basketball, skiing, and tennis.",,
